complaint_id,latitude,longitude,complaint_category,date_time
NOI-0173,28.568682,77.320653,Waste Management,2026-02-27 08:59:14
NOI-0174,28.563792,77.402562,Road Damage,2026-02-28 14:04:59
NOI-0175,28.566652,77.331678,Drainage / Waterlogging,2026-02-28 15:15:39
NOI-0176,28.504441,77.420485,Waste Management,2026-02-28 16:29:30
NOI-0177,28.528615,77.397112,Drainage / Waterlogging,2026-03-02 09:02:08
NOI-0178,28.529907,77.395847,Streetlight / Electrical,2026-03-02 21:39:10
NOI-0179,28.569507,77.326389,Streetlight / Electrical,2026-03-04 09:48:59
NOI-0180,28.611295,77.383664,Waste Management,2026-03-05 00:11:01
NOI-0181,28.52928,77.395428,Road Damage,2026-03-05 19:52:31
NOI-0182,28.607166,77.388332,Drainage / Waterlogging,2026-03-07 02:18:06
NOI-0183,28.567547,77.392422,Road Damage,2026-03-07 03:11:42
NOI-0184,28.616288,77.371082,Waste Management,2026-03-09 18:37:57
NOI-0185,28.573303,77.330138,Road Damage,2026-03-12 22:30:05
NOI-0186,28.568383,77.368069,Road Damage,2026-03-16 11:13:41
NOI-0187,28.566993,77.39293,Streetlight / Electrical,2026-03-16 23:42:42
NOI-0188,28.573683,77.342917,Streetlight / Electrical,2026-03-18 20:20:46
NOI-0189,28.585765,77.3115,Streetlight / Electrical,2026-03-18 21:13:19
NOI-0190,28.569474,77.331314,Streetlight / Electrical,2026-03-22 02:38:11
NOI-0191,28.534006,77.38169,Drainage / Waterlogging,2026-03-24 21:10:00
NOI-0192,28.558336,77.392359,Waste Management,2026-03-25 23:45:30
NOI-0193,28.573235,77.389565,Streetlight / Electrical,2026-03-26 09:31:37
NOI-0194,28.542524,77.390972,Road Damage,2026-03-28 10:13:46
NOI-0195,28.555284,77.408779,Road Damage,2026-03-30 18:58:51
NOI-0196,28.563136,77.398986,Waste Management,2026-03-31 18:19:10
NOI-0197,28.504713,77.421366,Waste Management,2026-04-02 11:51:30
NOI-0198,28.536923,77.407419,Streetlight / Electrical,2026-04-02 21:59:33
NOI-0199,28.530127,77.376657,Waste Management,2026-04-03 01:45:06
NOI-0200,28.584503,77.370642,Road Damage,2026-04-05 13:46:45
NOI-0201,28.53228,77.381633,Streetlight / Electrical,2026-04-06 19:27:46
NOI-0202,28.505492,77.418949,Drainage / Waterlogging,2026-04-07 13:51:56
NOI-0203,28.50763,77.421509,Road Damage,2026-04-07 20:32:10
NOI-0204,28.585023,77.312238,Waste Management,2026-04-08 00:53:44
NOI-0205,28.571898,77.37634,Waste Management,2026-04-08 21:01:46
NOI-0206,28.613657,77.391108,Waste Management,2026-04-12 14:16:40
NOI-0207,28.569488,77.331834,Waste Management,2026-04-15 13:17:04
NOI-0208,28.620102,77.376007,Road Damage,2026-04-18 01:18:05
NOI-0209,28.568097,77.399512,Waste Management,2026-04-18 19:10:33
NOI-0210,28.585305,77.313988,Drainage / Waterlogging,2026-04-19 11:28:19
NOI-0211,28.528803,77.392548,Waste Management,2026-04-20 04:13:46
NOI-0212,28.495662,77.42352,Drainage / Waterlogging,2026-04-26 22:08:50
NOI-0213,28.571253,77.325704,Drainage / Waterlogging,2026-04-27 12:26:31
NOI-0214,28.559901,77.394356,Road Damage,2026-04-28 22:47:34
NOI-0215,28.571328,77.329819,Drainage / Waterlogging,2026-04-29 21:26:53
NOI-0216,28.565555,77.367628,Streetlight / Electrical,2026-04-30 17:47:45
NOI-0217,28.526285,77.382435,Streetlight / Electrical,2026-04-30 22:12:23
NOI-0218,28.573913,77.37449,Road Damage,2026-05-02 02:39:25
NOI-0219,28.616386,77.369977,Waste Management,2026-05-02 06:20:58
NOI-0220,28.566158,77.369243,Waste Management,2026-05-02 13:05:05
NOI-0221,28.565895,77.339929,Streetlight / Electrical,2026-05-02 15:17:49
NOI-0222,28.613237,77.386027,Drainage / Waterlogging,2026-05-05 06:12:46
NOI-0223,28.617141,77.372312,Drainage / Waterlogging,2026-05-06 16:55:04
NOI-0224,28.573154,77.369662,Drainage / Waterlogging,2026-05-09 23:03:36
NOI-0225,28.532487,77.379446,Waste Management,2026-05-10 09:53:53
NOI-0226,28.607392,77.391978,Streetlight / Electrical,2026-05-12 14:15:13
NOI-0227,28.507377,77.407833,Waste Management,2026-05-14 02:48:23
NOI-0228,28.49626,77.426991,Streetlight / Electrical,2026-05-14 07:20:26
NOI-0229,28.569892,77.343521,Road Damage,2026-05-14 16:27:27
NOI-0230,28.56929,77.331491,Drainage / Waterlogging,2026-05-16 12:29:27
NOI-0231,28.58672,77.313021,Waste Management,2026-05-17 17:02:30
NOI-0232,28.574122,77.38952,Waste Management,2026-05-17 17:39:40
NOI-0233,28.53016,77.380827,Road Damage,2026-05-17 19:47:53
NOI-0234,28.61669,77.37503,Streetlight / Electrical,2026-05-22 12:05:46
NOI-0235,28.559675,77.395059,Waste Management,2026-05-23 19:02:58
NOI-0236,28.581535,77.371109,Road Damage,2026-05-24 00:37:11
NOI-0237,28.532455,77.380093,Streetlight / Electrical,2026-05-24 04:03:20
NOI-0238,28.570135,77.388707,Streetlight / Electrical,2026-05-24 11:49:40
NOI-0239,28.569413,77.334069,Drainage / Waterlogging,2026-05-25 00:26:51
NOI-0240,28.566275,77.366967,Drainage / Waterlogging,2026-05-25 17:55:22
NOI-0241,28.57122,77.395148,Streetlight / Electrical,2026-05-26 03:54:54
NOI-0242,28.611366,77.387937,Streetlight / Electrical,2026-05-27 14:11:00
NOI-0243,28.616456,77.37368,Road Damage,2026-05-27 14:29:17
NOI-0244,28.568391,77.344282,Waste Management,2026-05-29 08:33:53
NOI-0245,28.613098,77.388216,Drainage / Waterlogging,2026-05-31 19:29:02
NOI-0246,28.563729,77.406891,Drainage / Waterlogging,2026-06-01 14:30:36
NOI-0247,28.541704,77.37896,Road Damage,2026-06-03 16:50:03
NOI-0248,28.565807,77.398966,Streetlight / Electrical,2026-06-04 01:47:25
NOI-0249,28.570217,77.322203,Drainage / Waterlogging,2026-06-07 13:51:44
NOI-0250,28.629569,77.382402,Road Damage,2026-06-08 05:52:11
NOI-0251,28.579473,77.317864,Waste Management,2026-06-08 12:59:04
NOI-0252,28.573876,77.391436,Waste Management,2026-06-10 09:33:08
NOI-0253,28.58366,77.369485,Waste Management,2026-06-12 01:06:22
NOI-0254,28.508476,77.408197,Drainage / Waterlogging,2026-06-12 16:49:44
NOI-0255,28.586202,77.313534,Waste Management,2026-06-13 01:36:22
NOI-0256,28.612779,77.390349,Streetlight / Electrical,2026-06-15 02:11:54
NOI-0257,28.578843,77.316447,Drainage / Waterlogging,2026-06-16 03:53:28
NOI-0258,28.569736,77.337429,Streetlight / Electrical,2026-06-16 17:14:10
NOI-0259,28.563442,77.403743,Waste Management,2026-06-17 10:05:46
NOI-0260,28.611955,77.392611,Road Damage,2026-06-18 00:33:56
NOI-0261,28.540978,77.391621,Drainage / Waterlogging,2026-06-20 13:50:20
NOI-0262,28.524704,77.395671,Drainage / Waterlogging,2026-06-29 08:34:56
NOI-0263,28.494996,77.426043,Waste Management,2026-06-30 08:21:17
NOI-0264,28.564953,77.337164,Road Damage,2026-06-30 21:29:11
NOI-0265,28.611931,77.391022,Streetlight / Electrical,2026-07-01 18:28:37
NOI-0266,28.510872,77.408808,Road Damage,2026-07-02 10:49:01
NOI-0267,28.505514,77.423351,Road Damage,2026-07-03 04:15:25
NOI-0268,28.614418,77.38921,Drainage / Waterlogging,2026-07-05 02:00:03
NOI-0269,28.505877,77.420155,Waste Management,2026-07-06 02:58:40
NOI-0270,28.563206,77.393,Drainage / Waterlogging,2026-07-06 13:01:59
NOI-0271,28.541814,77.389182,Road Damage,2026-07-08 18:52:01
NOI-0272,28.586118,77.372119,Drainage / Waterlogging,2026-07-12 13:59:04
NOI-0273,28.553673,77.350688,Streetlight / Electrical,2026-07-13 14:05:24
NOI-0274,28.552898,77.333693,Drainage / Waterlogging,2026-07-14 12:24:01
NOI-0275,28.628356,77.383961,Streetlight / Electrical,2026-07-17 06:48:57
NOI-0276,28.494948,77.422985,Streetlight / Electrical,2026-07-18 08:20:10
NOI-0277,28.564618,77.370135,Drainage / Waterlogging,2026-07-20 09:35:12
NOI-0278,28.573879,77.38689,Road Damage,2026-07-20 15:05:28
NOI-0279,28.503095,77.420775,Road Damage,2026-07-20 16:56:26
NOI-0280,28.576537,77.319972,Road Damage,2026-07-20 23:41:56
NOI-0281,28.558403,77.412182,Streetlight / Electrical,2026-07-21 18:54:01
NOI-0282,28.541693,77.391718,Streetlight / Electrical,2026-07-27 14:15:11
NOI-0283,28.563032,77.40252,Streetlight / Electrical,2026-07-27 15:14:10
NOI-0284,28.570162,77.389482,Drainage / Waterlogging,2026-07-27 22:51:44
NOI-0285,28.588232,77.365404,Drainage / Waterlogging,2026-07-28 09:57:22
NOI-0286,28.582722,77.368747,Drainage / Waterlogging,2026-07-28 17:06:03
NOI-0287,28.632357,77.382783,Drainage / Waterlogging,2026-07-29 20:45:26
NOI-0288,28.555468,77.345376,Streetlight / Electrical,2026-07-30 04:26:47
NOI-0289,28.582471,77.36807,Road Damage,2026-07-31 19:53:30
NOI-0290,28.612878,77.389464,Waste Management,2026-08-02 01:39:54
NOI-0291,28.529769,77.393101,Road Damage,2026-08-05 17:37:07
NOI-0292,28.570651,77.328475,Waste Management,2026-08-07 13:08:19
NOI-0293,28.567905,77.370746,Streetlight / Electrical,2026-08-08 11:10:14
NOI-0294,28.609948,77.394278,Streetlight / Electrical,2026-08-09 14:29:38
NOI-0295,28.555045,77.332342,Road Damage,2026-08-09 15:11:54
NOI-0296,28.574435,77.385805,Road Damage,2026-08-09 23:58:37
NOI-0297,28.580542,77.318515,Drainage / Waterlogging,2026-08-10 10:44:02
NOI-0298,28.534231,77.407285,Waste Management,2026-08-14 08:07:40
NOI-0299,28.57931,77.316393,Waste Management,2026-08-15 10:06:51
NOI-0300,28.564308,77.368749,Waste Management,2026-08-15 13:40:33
